County,County #,fips
Beaverhead,18,30001
Big Horn,22,30003
Blaine,24,30005
Broadwater,43,30007
Carbon,10,30009
Carter,42,30011
Cascade,2,30013
Chouteau,19,30015
Custer,14,30017
Daniels,37,30019
Dawson,16,30021
Deer Lodge,30,30023
Fallon,39,30025
Fergus,8,30027
Flathead,7,30029
Gallatin,6,30031
Garfield,50,30033
Glacier,38,30035
Golden Valley,53,30037
Granite,46,30039
Hill,12,30041
Jefferson,51,30043
Judith Basin,36,30045
Lake,15,30047
Lewis & Clark,5,30049
Liberty,48,30051
Lincoln,56,30053
Madison,25,30057
McCone,41,30055
Meagher,47,30059
Mineral,54,30061
Missoula,4,30063
Musselshell,23,30065
Park,49,30067
Petroleum,55,30069
Phillips,11,30071
Pondera,26,30073
Powder River,9,30075
Powell,28,30077
Prairie,45,30079
Ravalli,13,30081
Richland,27,30083
Roosevelt,17,30085
Rosebud,29,30087
Sanders,35,30089
Sheridan,34,30091
Silver Bow,1,30093
Stillwater,32,30095
Sweet Grass,40,30097
Teton,31,30099
Toole,21,30101
Treasure,33,30103
Valley,20,30105
Wheatland,44,30107
Wibaux,52,30109
Yellowstone,3,30111
